
Client status at: 8-Feb-2008 2:43:35 PM
  TimezoneUpdateActor - ice.session: PeSoo1y1CvMYmYmNIImkHg performing: 293 requests (293 cumulative) and 0 errors (0 cumulative), accumulated Time: 35010 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 8622040, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: PeSoo1y1CvMYmYmNIImkHg performing: 279 requests (1634 cumulative) and 0 errors (0 cumulative), accumulated Time: 197788 ms, average: 121 ms/request Total Memory: 24559616, Free Memory: 2906456, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: if6YBtKEOm6IW7-Gpc_k7A performing: 281 requests (1631 cumulative) and 0 errors (0 cumulative), accumulated Time: 196513 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 3970936, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: QNG5C3jNre7HJr7nmf-W0Q performing: 278 requests (1639 cumulative) and 0 errors (0 cumulative), accumulated Time: 195637 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 3285888, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 5I67_tD1WeX_JNGXhOn2yg performing: 278 requests (1632 cumulative) and 0 errors (0 cumulative), accumulated Time: 195960 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 2864504, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sQ0TigOFhfIiyyQIW0dZrA performing: 277 requests (1629 cumulative) and 0 errors (0 cumulative), accumulated Time: 196124 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 3523704, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: -HQWomVDD14ayKHFjTv29Q performing: 279 requests (1642 cumulative) and 0 errors (0 cumulative), accumulated Time: 194156 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 3012648, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NHU7pHjDhsr02kI7DCpSEQ performing: 279 requests (1597 cumulative) and 0 errors (0 cumulative), accumulated Time: 198796 ms, average: 124 ms/request Total Memory: 24559616, Free Memory: 3661768, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NrH3_R0F5LC8j8fV7xymSg performing: 258 requests (1550 cumulative) and 0 errors (0 cumulative), accumulated Time: 202834 ms, average: 130 ms/request Total Memory: 24559616, Free Memory: 5029016, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 2nqmbIbfrl0xftBBU_6OnA performing: 277 requests (1646 cumulative) and 0 errors (0 cumulative), accumulated Time: 193250 ms, average: 117 ms/request Total Memory: 24559616, Free Memory: 2927880, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: o8XriAkvZyGkK3QDtvGkFQ performing: 263 requests (1620 cumulative) and 0 errors (0 cumulative), accumulated Time: 195278 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 7340440, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: FejKLR3LnSNIC07SOiwdCw performing: 278 requests (1606 cumulative) and 0 errors (0 cumulative), accumulated Time: 196839 ms, average: 122 ms/request Total Memory: 24559616, Free Memory: 2613448, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: E6jjIPmdqB1HuavotDB9Xg performing: 279 requests (1649 cumulative) and 0 errors (0 cumulative), accumulated Time: 191110 ms, average: 115 ms/request Total Memory: 24559616, Free Memory: 3290184, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 38r0NBPdFO6d5lg5yswW4A performing: 280 requests (1625 cumulative) and 0 errors (0 cumulative), accumulated Time: 194650 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 3186912, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sJaS0qVnxbR2OKh9K1ZDUg performing: 265 requests (1619 cumulative) and 0 errors (0 cumulative), accumulated Time: 193425 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 7484192, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: Rgw1Sm4WtbrpwLVvewqVpg performing: 277 requests (1620 cumulative) and 0 errors (0 cumulative), accumulated Time: 194262 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 2404480, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: KSrFTUKIRXHLg7Q_ahsR0Q performing: 277 requests (1625 cumulative) and 0 errors (0 cumulative), accumulated Time: 193033 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 2647288, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: gDoqTLxALNIRmvvEW8UFTQ performing: 281 requests (1635 cumulative) and 0 errors (0 cumulative), accumulated Time: 191390 ms, average: 117 ms/request Total Memory: 24559616, Free Memory: 3560112, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: fN_Y6JO5PbCMb-EivJL3Ig performing: 277 requests (1631 cumulative) and 0 errors (0 cumulative), accumulated Time: 192645 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 2366224, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: eB-91XPlIAiZ-K37ANNSGA performing: 279 requests (1618 cumulative) and 0 errors (0 cumulative), accumulated Time: 192228 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 3517472, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: niCbPf9jmBUtcZo9OP-qaw performing: 268 requests (1619 cumulative) and 0 errors (0 cumulative), accumulated Time: 192629 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 8784288, # Processors: 2, Max Memory: 66650112:end
Client status at: 8-Feb-2008 2:49:37 PM
  TimezoneUpdateActor - ice.session: PeSoo1y1CvMYmYmNIImkHg performing: 274 requests (1908 cumulative) and 0 errors (0 cumulative), accumulated Time: 229506 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 9727328, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: if6YBtKEOm6IW7-Gpc_k7A performing: 272 requests (1903 cumulative) and 0 errors (0 cumulative), accumulated Time: 228574 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 9086376, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: QNG5C3jNre7HJr7nmf-W0Q performing: 272 requests (1911 cumulative) and 0 errors (0 cumulative), accumulated Time: 227661 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 8805912, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 5I67_tD1WeX_JNGXhOn2yg performing: 260 requests (1892 cumulative) and 0 errors (0 cumulative), accumulated Time: 229177 ms, average: 121 ms/request Total Memory: 24559616, Free Memory: 3669408, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sQ0TigOFhfIiyyQIW0dZrA performing: 273 requests (1902 cumulative) and 0 errors (0 cumulative), accumulated Time: 228497 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 8800992, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: -HQWomVDD14ayKHFjTv29Q performing: 271 requests (1913 cumulative) and 0 errors (0 cumulative), accumulated Time: 226182 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 8500064, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NHU7pHjDhsr02kI7DCpSEQ performing: 273 requests (1870 cumulative) and 0 errors (0 cumulative), accumulated Time: 230794 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 9102312, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NrH3_R0F5LC8j8fV7xymSg performing: 273 requests (1823 cumulative) and 0 errors (0 cumulative), accumulated Time: 234955 ms, average: 128 ms/request Total Memory: 24559616, Free Memory: 8499816, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 2nqmbIbfrl0xftBBU_6OnA performing: 273 requests (1919 cumulative) and 0 errors (0 cumulative), accumulated Time: 225404 ms, average: 117 ms/request Total Memory: 24559616, Free Memory: 8628128, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: o8XriAkvZyGkK3QDtvGkFQ performing: 272 requests (1892 cumulative) and 0 errors (0 cumulative), accumulated Time: 227530 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 8245112, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: FejKLR3LnSNIC07SOiwdCw performing: 273 requests (1879 cumulative) and 0 errors (0 cumulative), accumulated Time: 228983 ms, average: 121 ms/request Total Memory: 24559616, Free Memory: 8650472, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: E6jjIPmdqB1HuavotDB9Xg performing: 274 requests (1923 cumulative) and 0 errors (0 cumulative), accumulated Time: 223140 ms, average: 116 ms/request Total Memory: 24559616, Free Memory: 9867432, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 38r0NBPdFO6d5lg5yswW4A performing: 275 requests (1900 cumulative) and 0 errors (0 cumulative), accumulated Time: 226349 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 9434584, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sJaS0qVnxbR2OKh9K1ZDUg performing: 268 requests (1887 cumulative) and 0 errors (0 cumulative), accumulated Time: 226190 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 7771312, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: Rgw1Sm4WtbrpwLVvewqVpg performing: 274 requests (1894 cumulative) and 0 errors (0 cumulative), accumulated Time: 226094 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 9489960, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: KSrFTUKIRXHLg7Q_ahsR0Q performing: 273 requests (1898 cumulative) and 0 errors (0 cumulative), accumulated Time: 224699 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 9404112, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: gDoqTLxALNIRmvvEW8UFTQ performing: 266 requests (1901 cumulative) and 0 errors (0 cumulative), accumulated Time: 224079 ms, average: 117 ms/request Total Memory: 24559616, Free Memory: 6041512, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: fN_Y6JO5PbCMb-EivJL3Ig performing: 273 requests (1904 cumulative) and 0 errors (0 cumulative), accumulated Time: 224755 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 9115432, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: eB-91XPlIAiZ-K37ANNSGA performing: 261 requests (1879 cumulative) and 0 errors (0 cumulative), accumulated Time: 225493 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 4255336, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: niCbPf9jmBUtcZo9OP-qaw performing: 273 requests (1892 cumulative) and 0 errors (0 cumulative), accumulated Time: 224910 ms, average: 118 ms/request Total Memory: 24559616, Free Memory: 9557648, # Processors: 2, Max Memory: 66650112:end
Client status at: 8-Feb-2008 2:50:37 PM
  TimezoneUpdateActor - ice.session: PeSoo1y1CvMYmYmNIImkHg performing: 234 requests (2142 cumulative) and 0 errors (0 cumulative), accumulated Time: 265437 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 9375424, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: if6YBtKEOm6IW7-Gpc_k7A performing: 224 requests (2127 cumulative) and 0 errors (0 cumulative), accumulated Time: 265617 ms, average: 124 ms/request Total Memory: 24559616, Free Memory: 5398784, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: QNG5C3jNre7HJr7nmf-W0Q performing: 224 requests (2135 cumulative) and 0 errors (0 cumulative), accumulated Time: 264625 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 6630896, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 5I67_tD1WeX_JNGXhOn2yg performing: 235 requests (2127 cumulative) and 0 errors (0 cumulative), accumulated Time: 265176 ms, average: 124 ms/request Total Memory: 24559616, Free Memory: 10179512, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sQ0TigOFhfIiyyQIW0dZrA performing: 249 requests (2151 cumulative) and 0 errors (0 cumulative), accumulated Time: 262885 ms, average: 122 ms/request Total Memory: 24559616, Free Memory: 3803848, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: -HQWomVDD14ayKHFjTv29Q performing: 220 requests (2133 cumulative) and 0 errors (0 cumulative), accumulated Time: 263825 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 4217992, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NHU7pHjDhsr02kI7DCpSEQ performing: 247 requests (2117 cumulative) and 0 errors (0 cumulative), accumulated Time: 265587 ms, average: 125 ms/request Total Memory: 24559616, Free Memory: 2614784, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: NrH3_R0F5LC8j8fV7xymSg performing: 230 requests (2053 cumulative) and 0 errors (0 cumulative), accumulated Time: 271459 ms, average: 132 ms/request Total Memory: 24559616, Free Memory: 8358064, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 2nqmbIbfrl0xftBBU_6OnA performing: 212 requests (2131 cumulative) and 0 errors (0 cumulative), accumulated Time: 263904 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 1695184, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: o8XriAkvZyGkK3QDtvGkFQ performing: 227 requests (2119 cumulative) and 0 errors (0 cumulative), accumulated Time: 264243 ms, average: 124 ms/request Total Memory: 24559616, Free Memory: 6606336, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: FejKLR3LnSNIC07SOiwdCw performing: 238 requests (2117 cumulative) and 0 errors (0 cumulative), accumulated Time: 264586 ms, average: 124 ms/request Total Memory: 24559616, Free Memory: 1351720, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: E6jjIPmdqB1HuavotDB9Xg performing: 245 requests (2168 cumulative) and 0 errors (0 cumulative), accumulated Time: 258261 ms, average: 119 ms/request Total Memory: 24559616, Free Memory: 3214080, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: 38r0NBPdFO6d5lg5yswW4A performing: 241 requests (2141 cumulative) and 0 errors (0 cumulative), accumulated Time: 261533 ms, average: 122 ms/request Total Memory: 24559616, Free Memory: 2926016, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: sJaS0qVnxbR2OKh9K1ZDUg performing: 238 requests (2125 cumulative) and 0 errors (0 cumulative), accumulated Time: 262001 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 1299264, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: Rgw1Sm4WtbrpwLVvewqVpg performing: 235 requests (2129 cumulative) and 0 errors (0 cumulative), accumulated Time: 261866 ms, average: 122 ms/request Total Memory: 24559616, Free Memory: 9584568, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: KSrFTUKIRXHLg7Q_ahsR0Q performing: 244 requests (2142 cumulative) and 0 errors (0 cumulative), accumulated Time: 259736 ms, average: 121 ms/request Total Memory: 24559616, Free Memory: 2742560, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: gDoqTLxALNIRmvvEW8UFTQ performing: 250 requests (2151 cumulative) and 0 errors (0 cumulative), accumulated Time: 258283 ms, average: 120 ms/request Total Memory: 24559616, Free Memory: 3050400, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: fN_Y6JO5PbCMb-EivJL3Ig performing: 237 requests (2141 cumulative) and 0 errors (0 cumulative), accumulated Time: 260336 ms, average: 121 ms/request Total Memory: 24559616, Free Memory: 1144288, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: eB-91XPlIAiZ-K37ANNSGA performing: 238 requests (2117 cumulative) and 0 errors (0 cumulative), accumulated Time: 261198 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 1834024, # Processors: 2, Max Memory: 66650112:end
  TimezoneUpdateActor - ice.session: niCbPf9jmBUtcZo9OP-qaw performing: 230 requests (2122 cumulative) and 0 errors (0 cumulative), accumulated Time: 261077 ms, average: 123 ms/request Total Memory: 24559616, Free Memory: 8117216, # Processors: 2, Max Memory: 66650112:end
Terminate batch job (Y/N)? 
Terminate batch job (Y/N)? y
y

C:\icefacesProjects\testClient>

C:\icefacesProjects\testClient>

C:\icefacesProjects\testClient>runTestClient.bat -f timezone2.xml
